--,filename,token_ID,category,word,POS,rel
11,brainiac_female,she,women,aced,VERB,nsubj
34,brainiac_female,she,women,accepted,VERB,nsubjpass
48,brainiac_female,she,women,studied,VERB,nsubj
65,brainiac_female,she,women,loves,VERB,nsubj
107,brainiac_female,she,women,praised,VERB,nsubjpass
123,brainiac_female,she,women,had,VERB,nsubj
127,brainiac_female,friends,other,making,VERB,dobj
133,brainiac_female,person,other,smartest,ADJ,amod
139,brainiac_female,she,women,chosen,VERB,nsubjpass
168,brainiac_female,she,women,do,VERB,nsubj
172,brainiac_female,she,women,put,VERB,nsubj
178,brainiac_female,she,women,graduated,VERB,nsubj
201,brainiac_female,woman,women,first,ADJ,amod
214,brainiac_female,woman,women,looking,VERB,nsubj
231,brainiac_female,she,women,loves,VERB,nsubj
255,brainiac_female,she,women,loved,VERB,nsubj
265,brainiac_female,she,women,enjoys,VERB,nsubj
269,brainiac_female,herself,women,challenging,VERB,dobj
281,brainiac_female,people,other,come,VERB,nsubj
285,brainiac_female,they,other,need,VERB,nsubj
295,brainiac_female,scientist,other,brilliant,ADJ,amod
311,brainiac_female,she,women,invited,VERB,nsubjpass
324,brainiac_female,she,women,met,VERB,nsubj
327,brainiac_female,man,men,met,VERB,dobj
334,brainiac_female,they,other,hit,VERB,nsubj
349,brainiac_female,someone,other,found,VERB,dobj
362,brainiac_female,she,women,realized,VERB,nsubj
392,brainiac_female,she,women,remember,VERB,nsubj
400,brainiac_female,she,women,read,VERB,nsubj
405,brainiac_female,friends,women,come,VERB,nsubj
425,brainiac_female,teachers,women,loved,VERB,nsubj
427,brainiac_female,her,women,loved,VERB,dobj
429,brainiac_female,she,women,praised,VERB,nsubjpass
452,brainiac_female,she,women,aced,VERB,nsubj
463,brainiac_female,family,women,joke,VERB,nsubj
477,brainiac_female,she,women,brushed,VERB,nsubj
486,brainiac_female,she,women,approached,VERB,nsubjpass
496,brainiac_female,her,women,told,VERB,dobj
501,brainiac_female,candidate,other,perfect,ADJ,amod
515,brainiac_female,they,other,explained,VERB,nsubj
524,brainiac_female,girl,women,bright,ADJ,amod
549,brainiac_female,she,women,started,VERB,nsubj
561,brainiac_female,she,women,promoted,VERB,nsubjpass
622,brainiac_female,she,women,knew,VERB,nsubj
629,brainiac_female,she,women,diagnosed,VERB,nsubjpass
639,brainiac_female,she,women,decided,VERB,nsubj
655,brainiac_female,she,women,became,VERB,nsubj
661,brainiac_female,expert,other,renowned,VERB,amod
689,brainiac_female,she,women,solve,VERB,nsubj
720,brainiac_female,people,other,come,VERB,nsubj
729,brainiac_female,they,other,knew,VERB,nsubj
766,brainiac_female,she,women,went,VERB,nsubj
771,brainiac_female,her,women,get,VERB,dobj
795,brainiac_female,people,other,came,VERB,nsubj
809,brainiac_female,them,other,help,VERB,dobj
815,brainiac_female,woman,women,remarkable,ADJ,amod
834,brainiac_female,she,women,figure,VERB,nsubj
857,brainiac_female,she,women,got,VERB,nsubj
865,brainiac_female,classmates,women,ask,VERB,nsubj
869,brainiac_female,her,women,ask,VERB,dobj
885,brainiac_female,woman,women,decided,VERB,nsubj
899,brainiac_female,student,other,bright,ADJ,amod
902,brainiac_female,she,women,sailed,VERB,nsubj
952,brainiac_female,she,women,snapped,VERB,nsubjpass
963,brainiac_female,she,women,began,VERB,nsubj
982,brainiac_female,person,other,smartest,ADJ,amod
1013,brainiac_female,classmates,women,seek,VERB,nsubj
1017,brainiac_female,her,women,seek,VERB,dobj
1034,brainiac_female,she,women,knew,VERB,nsubj
1037,brainiac_female,she,women,meant,VERB,nsubjpass
1083,brainiac_female,she,women,went,VERB,nsubj
1088,brainiac_female,she,women,became,VERB,nsubj
1106,brainiac_female,she,women,went,VERB,nsubj
1121,brainiac_female,experts,other,top,ADJ,amod
1141,brainiac_female,she,women,do,VERB,nsubj
1145,brainiac_female,she,women,put,VERB,nsubj
1161,brainiac_female,she,women,had,VERB,nsubj
1172,brainiac_female,she,women,asked,VERB,nsubjpass
1182,brainiac_female,she,women,thought,VERB,nsubj
1192,brainiac_female,she,women,came,VERB,nsubj
1230,brainiac_female,she,women,looking,VERB,nsubj
1242,brainiac_female,intellect,women,test,VERB,dobj
1247,brainiac_female,she,women,came,VERB,nsubj
1254,brainiac_female,her,women,stumped,VERB,dobj
1256,brainiac_female,she,women,figure,VERB,nsubj
1267,brainiac_female,she,women,tried,VERB,nsubj
1270,brainiac_female,she,women,consulted,VERB,nsubj
1273,brainiac_female,colleagues,women,consulted,VERB,dobj
1304,brainiac_female,parents,women,had,VERB,nsubj
1312,brainiac_female,she,women,disappointed,VERB,nsubj
1316,brainiac_female,she,women,went,VERB,nsubj
1335,brainiac_female,she,women,driven,VERB,nsubjpass
1372,brainiac_female,she,women,solve,VERB,nsubj
1403,brainiac_female,people,other,come,VERB,nsubj
1412,brainiac_female,they,other,knew,VERB,nsubj
1430,brainiac_female,she,women,had,VERB,nsubj
1435,brainiac_female,woman,women,had,VERB,dobj
1452,brainiac_female,she,women,loves,VERB,nsubj
1465,brainiac_female,friends,women,know,VERB,nsubj
1470,brainiac_female,they,other,count,VERB,nsubj
1479,brainiac_female,person,other,smartest,ADJ,amod
1535,brainiac_female,she,women,worked,VERB,nsubj
1549,brainiac_female,people,other,respected,ADJ,amod
1555,brainiac_female,she,women,coming,VERB,nsubj
1579,brainiac_female,she,women,solve,VERB,nsubj
1595,brainiac_female,people,other,go,VERB,nsubj
1600,brainiac_female,they,other,needed,VERB,nsubj
1611,brainiac_female,others,other,help,VERB,dobj
1614,brainiac_female,she,women,loved,VERB,nsubj
1623,brainiac_female,woman,women,asked,VERB,nsubjpass
1657,brainiac_female,she,women,solve,VERB,nsubj
1679,brainiac_female,she,women,had,VERB,nsubj
1686,brainiac_female,people,other,come,VERB,nsubj
1696,brainiac_female,she,women,had,VERB,nsubj
1709,brainiac_female,people,other,solve,VERB,nsubj
1725,brainiac_female,girl,women,little,ADJ,amod
1733,brainiac_female,she,women,spend,VERB,nsubj
1755,brainiac_female,parents,women,told,VERB,nsubj
1760,brainiac_female,her,women,told,VERB,dobj
1769,brainiac_female,she,women,got,VERB,nsubj
1781,brainiac_female,she,women,went,VERB,nsubj
1800,brainiac_female,girl,women,bright,ADJ,amod
1832,brainiac_female,she,women,accepted,VERB,nsubjpass
1854,brainiac_female,she,women,did,VERB,nsubj
1857,brainiac_female,she,women,got,VERB,nsubj
1889,brainiac_female,she,women,understand,VERB,nsubj
1913,brainiac_female,people,other,came,VERB,nsubj
1922,brainiac_female,she,women,helped,VERB,nsubj
1925,brainiac_female,them,other,helped,VERB,dobj
1931,brainiac_female,woman,women,great,ADJ,amod
1935,brainiac_female,everyone,other,loved,VERB,nsubj
1937,brainiac_female,her,women,loved,VERB,dobj
1984,brainiac_female,friends,women,turned,VERB,nsubj
2033,brainiac_female,classmates,women,help,VERB,dobj
2035,brainiac_female,they,other,stuck,VERB,nsubjpass
2040,brainiac_female,she,women,went,VERB,nsubj
2045,brainiac_female,she,women,majored,VERB,nsubj
2053,brainiac_female,woman,women,only,ADJ,amod
2076,brainiac_female,classmates,women,help,VERB,dobj
2088,brainiac_female,she,women,breeze,VERB,nsubj
2121,brainiac_female,she,women,felt,VERB,nsubj
2124,brainiac_female,she,women,missing,VERB,nsubj
2142,brainiac_female,she,women,came,VERB,nsubj
2157,brainiac_female,woman,women,working,VERB,nsubj
2173,brainiac_female,she,women,learning,VERB,nsubj
2205,brainiac_female,woman,women,brilliant,ADJ,amod
2216,brainiac_female,she,women,loves,VERB,nsubj
2260,brainiac_female,she,women,asked,VERB,nsubjpass
2269,brainiac_female,she,women,turns,VERB,nsubj
2296,brainiac_female,she,women,solve,VERB,nsubj
2315,brainiac_female,people,other,went,VERB,nsubj
2319,brainiac_female,they,other,needed,VERB,nsubj
2329,brainiac_female,group,other,came,VERB,nsubj
2341,brainiac_female,they,other,said,VERB,nsubj
2344,brainiac_female,they,other,having,VERB,nsubj
2354,brainiac_female,they,other,working,VERB,nsubj
2390,brainiac_female,teacher,other,posed,VERB,nsubj
2394,brainiac_female,classmates,women,tease,VERB,nsubj
2398,brainiac_female,her,women,tease,VERB,dobj
2401,brainiac_female,her,women,calling,VERB,dobj
2422,brainiac_female,she,women,loved,VERB,nsubj
2426,brainiac_female,she,women,loved,VERB,nsubj
2441,brainiac_female,girl,women,little,ADJ,amod
2452,brainiac_female,parents,women,used,VERB,nsubj
2457,brainiac_female,she,women,born,VERB,nsubjpass
2490,brainiac_female,experts,other,leading,VERB,amod
2567,brainiac_female,her,women,led,VERB,dobj
2575,brainiac_female,she,women,became,VERB,nsubj
2579,brainiac_female,researcher,other,respected,ADJ,amod
2591,brainiac_female,woman,women,looking,VERB,nsubj
2610,brainiac_female,she,women,loves,VERB,nsubj
2625,brainiac_female,she,women,comes,VERB,nsubj
2636,brainiac_female,her,women,solve,VERB,nsubj
2640,brainiac_female,she,women,spends,VERB,nsubj
2652,brainiac_female,she,women,seem,VERB,nsubj
2663,brainiac_female,she,women,decides,VERB,nsubj
2708,brainiac_female,friends,women,rely,VERB,nsubj
2722,brainiac_female,woman,women,looking,VERB,nsubj
2736,brainiac_female,she,women,loves,VERB,nsubj
2795,brainiac_female,she,women,solve,VERB,nsubj
2828,brainiac_female,friends,women,come,VERB,nsubj
2844,brainiac_female,they,other,having,VERB,nsubj
2854,brainiac_female,them,other,provide,VERB,dobj
2874,brainiac_female,she,women,loves,VERB,nsubj
2887,brainiac_female,friends,women,seek,VERB,nsubj
2892,brainiac_female,her,women,seek,VERB,dobj
2940,brainiac_female,she,women,figure,VERB,nsubj
2959,brainiac_female,she,women,knew,VERB,nsubj
2968,brainiac_female,people,other,come,VERB,nsubj
3000,brainiac_female,she,women,figure,VERB,nsubj
3033,brainiac_female,people,other,come,VERB,nsubj
3050,brainiac_female,them,other,help,VERB,dobj
3052,brainiac_female,she,women,learning,VERB,nsubj
3129,brainiac_female,she,women,doing,VERB,nsubj
3147,brainiac_female,people,other,told,VERB,nsubj
3150,brainiac_female,her,women,told,VERB,dobj
3157,brainiac_female,she,women,feel,VERB,nsubj
3164,brainiac_female,she,women,felt,VERB,nsubj
3176,brainiac_female,everyone,other,find,VERB,nsubj
3191,brainiac_female,she,women,working,VERB,nsubj
3200,brainiac_female,she,women,figure,VERB,nsubj
3208,brainiac_female,she,women,felt,VERB,nsubj
3211,brainiac_female,she,women,going,VERB,nsubj
3224,brainiac_female,person,other,smartest,ADJ,amod
3242,brainiac_female,she,women,loved,VERB,nsubj
3265,brainiac_female,they,other,told,VERB,nsubj
3268,brainiac_female,her,women,told,VERB,dobj
3270,brainiac_female,she,women,destined,VERB,nsubjpass
3281,brainiac_female,she,women,went,VERB,nsubj
3307,brainiac_female,she,women,found,VERB,nsubjpass
3329,brainiac_female,outcast,other,social,ADJ,amod
