category,dimension,mean,ci
black,power,-0.2756196140247829,nan
hispanic/latinx,power,-0.2756196140247829,0.0
men,power,0.09777435348813202,0.042543027292994195
named,power,-0.2756196140247832,0.2954814017118247
other,power,-0.16830301468397205,0.04295975148289823
other minority,power,-0.9310174171418539,1.2845796941094592
white,power,-0.46287612920108895,0.6700888336922256
women,power,0.08422924575969037,0.039949870290038124
hispanic/latinx,agency,-1.4979091088170713,nan
men,agency,0.06884799630587736,0.04680046837777864
named,agency,0.5489393661916425,0.2688599262105172
other,agency,-0.14601132760792795,0.0516453557258122
other minority,agency,-0.3554820529982542,nan
white,agency,0.7869450028205629,nan
women,agency,0.047151585313894316,0.0453351791677692
black,sentiment,0.9047882889724963,nan
hispanic/latinx,sentiment,0.38753636645423684,0.0
men,sentiment,-0.030128072985393533,0.04492378416964292
named,sentiment,-0.46223464911073636,0.3370107058869959
other,sentiment,-0.008102000215954764,0.045413939421735
other minority,sentiment,0.2151190589498744,1.0138137681357886
white,sentiment,0.8473158531377086,1.008794857268552
women,sentiment,0.037907709233317606,0.04141788533671761
men,valence,0.04667616941220804,0.16020965048812463
other,valence,0.013732224668267212,0.06278791311100332
other minority,valence,0.7225107220211886,0.06207777908235487
white,valence,-0.36028727409003913,1.1223757344043244
women,valence,-0.16654963652434587,0.1879128003635551
men,arousal,-0.08315419893737115,0.15013384548869205
other,arousal,0.036957392707106455,0.06271874037619227
other minority,arousal,-0.04032921206499962,2.5124674598472825
white,arousal,-0.6906117657138234,1.033280835819861
women,arousal,-0.14405050697036945,0.20117329162954561
men,dominance,-0.06846957331251712,0.1558475713487037
other,dominance,0.05586227880053473,0.06265951539954022
other minority,dominance,0.6916973522255039,1.058420830383753
white,dominance,-0.5233265602048252,1.4262305251696408
women,dominance,-0.32373195707856306,0.1861686120701854
