--,filename,token_ID,category,word,POS,rel
96,brainiac_female,she,women,dreams,VERB,nsubj
115,brainiac_female,lady,women,classy,ADJ,amod
144,brainiac_female,husband,men,appease,VERB,dobj
146,brainiac_female,she,women,believes,VERB,nsubj
181,brainiac_female,life,other,successful,ADJ,amod
193,brainiac_female,her,women,costs,VERB,dobj
200,brainiac_female,she,women,starts,VERB,nsubj
212,brainiac_female,herself,women,pulls,VERB,dobj
223,brainiac_female,friend,other,sarcastic,ADJ,amod
226,brainiac_female,friend,other,makes,VERB,dobj
308,brainiac_female,she,women,going,VERB,nsubj
320,brainiac_female,she,women,ran,VERB,nsubj
344,brainiac_female,someone,other,explain,VERB,nsubj
351,brainiac_female,people,other,few,ADJ,amod
398,brainiac_female,she,women,labeled,VERB,nsubj
400,brainiac_female,herself,women,labeled,VERB,dobj
409,brainiac_female,she,women,labeled,VERB,nsubj
411,brainiac_female,herself,women,labeled,VERB,dobj
423,brainiac_female,she,women,labeled,VERB,nsubj
425,brainiac_female,herself,women,labeled,VERB,dobj
477,brainiac_female,they,other,ate,VERB,nsubj
480,brainiac_female,she,women,headed,VERB,nsubj
487,brainiac_female,she,women,going,VERB,nsubj
501,brainiac_female,she,women,turned,VERB,nsubj
518,brainiac_female,he,men,said,VERB,nsubj
535,brainiac_female,student,other,good,ADJ,amod
539,brainiac_female,she,women,said,VERB,nsubj
549,brainiac_female,he,men,asked,VERB,nsubj
552,brainiac_female,her,women,asked,VERB,dobj
567,brainiac_female,she,women,managed,VERB,nsubj
636,brainiac_female,friends,other,makes,VERB,dobj
641,brainiac_female,people,other,complimenting,VERB,dobj
687,brainiac_female,she,women,showed,VERB,nsubj
690,brainiac_female,she,women,have,VERB,nsubj
696,brainiac_female,she,women,got,VERB,nsubj
709,brainiac_female,him,men,study,VERB,nsubj
712,brainiac_female,she,women,stating,VERB,nsubj
721,brainiac_female,person,other,smartest,ADJ,amod
734,brainiac_female,person,other,smartest,ADJ,amod
740,brainiac_female,she,women,has,VERB,nsubj
754,brainiac_female,she,women,used,VERB,nsubj
779,brainiac_female,she,women,has,VERB,nsubj
790,brainiac_female,she,women,has,VERB,nsubj
802,brainiac_female,she,women,has,VERB,nsubj
805,brainiac_female,class,other,has,VERB,dobj
816,brainiac_female,she,women,has,VERB,nsubj
821,brainiac_female,party,other,has,VERB,dobj
840,brainiac_female,parents,other,help,VERB,nsubj
842,brainiac_female,her,women,make,VERB,nsubj
845,brainiac_female,she,women,stays,VERB,nsubj
884,brainiac_female,player,other,talented,ADJ,amod
896,brainiac_female,she,women,won,VERB,nsubj
943,brainiac_female,characters,other,favorite,ADJ,amod
982,brainiac_female,she,women,uses,VERB,nsubj
